OrderNumber,OrderDate,Revenue
SO - 000101,2018-05-31,9079.3375
SO - 000102,2018-05-31,10932.39
SO - 000103,2018-05-31,1686.725
SO - 000104,2018-05-31,17204.260000000002
SO - 000105,2018-05-31,13121.28
SO - 000106,2018-05-31,4932.875
SO - 000107,2018-05-31,4054.8399999999997
SO - 000108,2018-05-31,8624.574999999999
SO - 000109,2018-06-01,10862.039999999999
SO - 000110,2018-06-01,14868.64
SO - 000111,2018-06-01,1085.4
SO - 000112,2018-06-01,26681.075
SO - 000113,2018-06-01,4996.525
SO - 000114,2018-06-01,1298.4599999999998
SO - 000115,2018-06-01,20057.79
SO - 000116,2018-06-01,3169.77
SO - 000117,2018-06-01,3439.6125
SO - 000118,2018-06-01,3545.64
SO - 000119,2018-06-01,20091.960000000003
SO - 000120,2018-06-01,11762.52
SO - 000121,2018-06-01,5467.2
SO - 000122,2018-06-02,6420.610000000001
SO - 000123,2018-06-02,6367.68
SO - 000124,2018-06-02,3545.64
SO - 000125,2018-06-02,227.79999999999998
SO - 000126,2018-06-02,1097.4599999999998
SO - 000127,2018-06-02,8292.255
SO - 000128,2018-06-02,15199.619999999999
SO - 000129,2018-06-02,17032.739999999998
SO - 000130,2018-06-02,13054.95
SO - 000131,2018-06-03,39347.9275
SO - 000132,2018-06-03,32117.120000000003
SO - 000133,2018-06-03,10582.65
SO - 000134,2018-06-03,5779.42
SO - 000135,2018-06-03,11868.212500000001
SO - 000136,2018-06-03,4214.3
SO - 000137,2018-06-03,241.70250000000001
SO - 000138,2018-06-03,7587.079999999999
SO - 000139,2018-06-03,16787.52
SO - 000140,2018-06-03,4302.74
SO - 000141,2018-06-03,15995.245
SO - 000142,2018-06-03,43332.92
SO - 000143,2018-06-04,1961.76
SO - 000144,2018-06-04,8821.89
SO - 000145,2018-06-04,9278.16
SO - 000146,2018-06-04,16594.56
SO - 000147,2018-06-04,9108.315
SO - 000148,2018-06-04,42906.465000000004
SO - 000149,2018-06-05,4206.929999999999
SO - 000150,2018-06-05,27649.559999999998
SO - 000151,2018-06-05,6321.450000000001
SO - 000152,2018-06-05,3883.32
SO - 000153,2018-06-05,18649.45
SO - 000154,2018-06-05,14155.09
SO - 000155,2018-06-05,6435.015
SO - 000156,2018-06-06,8230.28
SO - 000157,2018-06-06,27038.519999999997
SO - 000158,2018-06-06,4269.24
SO - 000159,2018-06-06,514.56
SO - 000160,2018-06-07,13624.449999999999
SO - 000161,2018-06-07,19299.015000000003
SO - 000162,2018-06-07,16823.7
SO - 000163,2018-06-07,3751.9999999999995
SO - 000164,2018-06-07,15015.035
SO - 000165,2018-06-07,2858.22
SO - 000166,2018-06-07,8972.640000000001
SO - 000167,2018-06-07,18299.375
SO - 000168,2018-06-08,1833.12
SO - 000169,2018-06-08,1788.23
SO - 000170,2018-06-08,797.3
SO - 000171,2018-06-08,5123.825
SO - 000172,2018-06-08,6834.0
SO - 000173,2018-06-08,11807.074999999999
SO - 000174,2018-06-08,7580.715
SO - 000175,2018-06-09,2057.57
